Classification,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
"Adults (18+) Membership",1,2,2,0,3,3,1,1,2,0,2,2
"Little AAFS (4-8) Membership",1,1,1,0,1,0,0,0,0,0,0,0
"Youth (9-12) Membership",3,5,2,1,2,2,3,1,1,2,1,3
"Young Adult (13-17) Membership",4,3,6,1,3,6,1,4,6,3,1,2
Members,0,0,0,0,0,0,0,2,0,0,0,0
