Classification,0000-00
"Youth (9-12) Membership",31
"Little AAFS Membership",2
"Young Adult (16-18) Membership",2
"Youth (9-16) Membership",7
"Adults (18+) Membership",28
"Little AAFS (4-9) Membership",1
Members,3
"Young Adult (13-17) Membership",25
"Little AAFS (4-8) Membership",6
