Classification,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
"Adults (18+) Membership",13,25,7,11,6,6,6,3,5,4,0,2
"Young Adult (13-17) Membership",7,21,12,7,7,6,5,7,7,5,2,1
"Youth (9-12) Membership",2,10,5,3,0,2,3,1,2,0,2,0
"Youth (9-16) Membership",0,1,0,0,0,0,1,0,1,0,0,0
"Little AAFS (4-8) Membership",0,1,0,0,1,1,1,0,0,0,0,0
"Little AAFS (4-9) Membership",0,0,0,0,0,0,1,0,0,0,0,0
